Site,	Lat, Long
Gorée Island, 14.668409260634977, -17.398814665460467
IFAN Historical Museum, 14.670835149693223, -17.399573838675543
Musée des Civilisations Noires, 14.677505643094529, -17.43514143190679
Sandaga Market, 14.67256214292739, -17.440999887498638
African Renaissance Monument, 14.722406345108869, -17.49491108749816
University of Cheikh Anta Diop (UCAD), 14.69465195384832, -17.47127540621084
Musée de l'Institut Fondamental d'Afrique Noire (IFAN Museum of African Arts),14.663750442253978, -17.438191833247085
Les Village des Arts (The Village of the Arts), 14.748415487483772, -17.45702486978764














